seed,soil,season,states,info,growth_days,fertilizers,irrigation
Potato,Alluvial,Rabi,West Bengal,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking - follow local extension recommendations"
Onion,Loamy,Kharif,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash (apply as needed),"Irrigate every 10–12 days, critical at bulb formation - follow local extension recommendations"
Tomato,Sandy loam,Rabi,Andhra Pradesh,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 6–8 days (apply as needed)
Brinjal,Sandy loam,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Cabbage,Sandy loam,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Water every 10–12 days
Cauliflower,Loamy,Rabi,Punjab,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days
Chilli,Sandy loam,Rabi,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Carrot,Sandy loam,Rabi,Haryana,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days (apply as needed)
Radish,Sandy loam,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Irrigate every 7–10 days
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Sandy loam,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Sandy loam,Rabi,Rajasthan,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal - follow local extension recommendations",One irrigation at pod formation
Turmeric,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits (apply as needed)",Water every 10–15 days
Ginger,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Laterite,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days (apply as needed)
Cardamom,Loamy,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months - follow local extension recommendations
Banana,Alluvial,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Water every 7–10 days
Mango,Alluvial,Perennial,UP,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set - follow local extension recommendations","Water young plants, flowering, fruiting"
Papaya,Sandy loam,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application - follow local extension recommendations,Irrigate every 7–10 days (apply as needed)
Guava,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Apple,Sandy loam,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods (apply as needed)
Grapes,Sandy loam,Annual,Tamil Nadu,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Sandy loam,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal - follow local extension recommendations",Irrigate every 10–15 days
Watermelon,Sandy loam,Summer,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set (apply as needed)",Irrigate weekly until fruiting (apply as needed)
Muskmelon,Loamy,Summer,Punjab,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate at 7–10 day intervals (apply as needed)
Pomegranate,Loamy,Perennial,Gujarat,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Irrigate at flowering and fruiting (apply as needed)
Coconut,Sandy loam,Perennial,Kerala,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days (apply as needed)
Tea,Laterite,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months (apply as needed)
Coffee,Laterite,Perennial,Tamil Nadu,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal (apply as needed)",Water in dry season
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Water in dry season
Tobacco,Alluvial,Kharif,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing (apply as needed)",Water every 7–10 days
Jute,Sandy loam,Kharif,Assam,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal (apply as needed),Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation - follow local extension recommendations
Sesame,Alluvial,Kharif,Gujarat,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Sandy loam,Rabi,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal (apply as needed),Irrigate at flowering and capsule formation - follow local extension recommendations
Safflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering"
Linseed,Sandy loam,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering (apply as needed)
Peas,Sandy loam,Rabi,UP,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling
Rice,Clay,Rabi,West Bengal,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Water every 7–10 days
Wheat,Alluvial,Rabi,Bihar,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling - follow local extension recommendations"
Maize,Sandy loam,Rabi,Andhra Pradesh,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling - follow local extension recommendations"
Sugarcane,Alluvial,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal (apply as needed)","Water every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Maharashtra,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry (apply as needed)
Groundnut,Sandy loam,Kharif,Tamil Nadu,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Water at pegging and pod development
Bajra (Pearl Millet),Sandy,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Kharif,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; water at booting and grain filling
Barley,Loamy,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling
Mustard,Loamy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Water at branching, flowering, pod formation"
Sunflower,Sandy loam,Kharif,Karnataka,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering (apply as needed)","Irrigate at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,West Bengal,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking"
Onion,Sandy loam,Rabi,Karnataka,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation - follow local extension recommendations"
Tomato,Loamy,Kharif,Maharashtra,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 6–8 days - follow local extension recommendations
Brinjal,Loamy,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Loamy,Rabi,Bihar,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal - follow local extension recommendations",Irrigate every 10–12 days
Cauliflower,Loamy,Rabi,Bihar,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days
Chilli,Loamy,Rabi,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS - follow local extension recommendations",Irrigate every 12–15 days
Radish,Sandy loam,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Water every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Loamy,Rabi,Bihar,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal (apply as needed)","Usually rainfed, one irrigation at flowering (apply as needed)"
Gram (Chickpea),Sandy loam,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal - follow local extension recommendations",One irrigation at pod formation
Turmeric,Loamy,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits - follow local extension recommendations",Irrigate every 10–15 days
Ginger,Alluvial,Kharif,Odisha,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Black Pepper,Laterite,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal - follow local extension recommendations",Irrigate every 10–12 days
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months
Banana,Alluvial,Annual,Tamil Nadu,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits",Irrigate every 7–10 days (apply as needed)
Mango,Sandy loam,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Loamy,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days (apply as needed)
Guava,Sandy loam,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Water young plants, flowering, fruiting"
Apple,Loamy,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods
Grapes,Loamy,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Sandy loam,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal (apply as needed)",Irrigate every 10–15 days (apply as needed)
Watermelon,Sandy loam,Kharif,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting
Muskmelon,Sandy loam,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate at 7–10 day intervals - follow local extension recommendations
Pomegranate,Sandy loam,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting
Coconut,Coastal soil,Perennial,Kerala,"Nut crop, coastal regions",365+,"Organic manure, Potash annual (apply as needed)",Irrigate every 15–20 days - follow local extension recommendations
Tea,Loamy,Perennial,Assam,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months
Coffee,Loamy,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Water in dry season
Rubber,Loamy,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Irrigate in dry season
Tobacco,Sandy loam,Rabi,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days - follow local extension recommendations
Jute,Alluvial,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Maharashtra,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation (apply as needed)
Sesame,Alluvial,Rabi,Rajasthan,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Sandy loam,Rabi,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal (apply as needed),Water at flowering and capsule formation
Safflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering"
